3.999138;0.807680;-0.103686;0.942565;0.022188;-0.008242;0.333184
3.986534;0.861222;-0.092744;0.940427;0.016846;-0.008731;0.339467
3.981884;0.880490;-0.096387;0.939633;0.016958;-0.008340;0.341662
3.976978;0.900041;-0.093319;0.938810;0.017831;-0.008870;0.343858
3.968302;0.933482;-0.099197;0.937411;0.019568;-0.008460;0.347572
3.961325;0.958719;-0.116739;0.936364;0.021396;-0.006615;0.350317
3.958444;0.969127;-0.120594;0.935930;0.022081;-0.006283;0.351436
3.953843;0.987077;-0.130479;0.935177;0.024329;-0.005410;0.353302
3.951592;0.998083;-0.128958;0.934693;0.026924;-0.005920;0.354386
3.950369;1.005748;-0.132902;0.934388;0.027897;-0.005587;0.355120
3.949359;1.015617;-0.139460;0.934028;0.028521;-0.004889;0.356026
3.948367;1.030958;-0.150603;0.933425;0.029821;-0.003751;0.357511
3.950746;1.030182;-0.156723;0.933471;0.032108;-0.003328;0.357198
3.953542;1.023799;-0.155234;0.933755;0.033074;-0.003703;0.356363
3.959883;1.008432;-0.143648;0.934431;0.033779;-0.005225;0.354501
3.962251;1.005077;-0.143079;0.934599;0.034191;-0.005350;0.354015
3.964151;1.013657;-0.144745;0.934264;0.034782;-0.005185;0.354844
3.964518;1.018289;-0.145916;0.934089;0.034840;-0.005054;0.355301
3.965419;1.020674;-0.147011;0.934018;0.034644;-0.004898;0.355507
3.969753;1.017074;-0.141370;0.934259;0.033442;-0.005407;0.354983
3.975862;1.002457;-0.129559;0.934901;0.035008;-0.007049;0.353107
3.978474;1.002791;-0.115062;0.934862;0.037040;-0.008985;0.352960
3.979048;1.006116;-0.108116;0.934722;0.037342;-0.009825;0.353275
3.978023;1.020162;-0.106672;0.934187;0.036175;-0.009739;0.354811
3.974898;1.040671;-0.107755;0.933350;0.035058;-0.009390;0.357129
3.974990;1.043613;-0.106685;0.933243;0.034717;-0.009469;0.357439
3.978186;1.036979;-0.112371;0.933576;0.035447;-0.008935;0.356511
3.980136;1.034686;-0.109532;0.933688;0.036116;-0.009418;0.356137
3.979684;1.042803;-0.109865;0.933386;0.034901;-0.009218;0.357055
3.978680;1.052285;-0.106318;0.932957;0.034674;-0.009481;0.358189
3.979979;1.050749;-0.097845;0.933019;0.034657;-0.010487;0.357999
3.982403;1.044632;-0.089663;0.933283;0.034770;-0.011458;0.357270
3.986451;1.037312;-0.071399;0.933561;0.034364;-0.013449;0.356515
3.985677;1.042858;-0.066767;0.933312;0.034099;-0.013868;0.357174
3.984936;1.048535;-0.061135;0.933065;0.033785;-0.014446;0.357827
3.982884;1.059340;-0.057328;0.932620;0.033994;-0.014877;0.358946
3.979052;1.072856;-0.056786;0.932061;0.032950;-0.014766;0.360498
3.974080;1.090112;-0.061422;0.931351;0.031889;-0.014085;0.362449
3.966909;1.112642;-0.072855;0.930372;0.031757;-0.012726;0.365018
3.963250;1.123506;-0.079450;0.929907;0.031742;-0.012003;0.366226
3.957779;1.137941;-0.101950;0.929311;0.031498;-0.009359;0.367835
3.955324;1.144655;-0.111335;0.929031;0.031522;-0.008309;0.368563
3.949005;1.164450;-0.123230;0.928201;0.030552;-0.006852;0.370758
3.948389;1.167456;-0.117532;0.928077;0.030195;-0.007470;0.371088
3.947012;1.175715;-0.098772;0.927737;0.029070;-0.009512;0.371979
3.947140;1.177880;-0.087960;0.927655;0.028353;-0.010678;0.372208
3.946472;1.181990;-0.081684;0.927487;0.027911;-0.011309;0.372640
3.945203;1.188897;-0.066367;0.927189;0.027403;-0.012934;0.373367
3.943591;1.195309;-0.056423;0.926903;0.027689;-0.014051;0.374014
3.942058;1.201628;-0.052155;0.926633;0.027818;-0.014462;0.374659
3.940410;1.206370;-0.044792;0.926429;0.027496;-0.015255;0.375154
