0.102879;-0.306944;0.268034;9.753608
0.106945;-0.341583;0.265266;9.742174
0.084989;-0.119359;0.272666;9.754184
0.064956;0.116959;0.278871;9.757597
0.055914;0.233601;0.279881;9.761167
0.105820;-0.275969;0.248145;9.736445
0.083451;0.026237;0.248312;9.739730
0.070208;0.170862;0.245407;9.748637
0.063000;0.263305;0.240097;9.757082
0.057789;0.313101;0.233956;9.765424
0.097686;-0.219049;0.200287;9.744770
0.085197;-0.038989;0.192400;9.748366
0.076961;0.078925;0.184173;9.755117
0.068789;0.202740;0.176787;9.761642
0.066392;0.242711;0.168223;9.767787
0.104267;-0.388948;0.134794;9.739542
0.092739;-0.159872;0.127517;9.743731
0.122097;-0.655128;0.094860;9.727042
0.099786;-0.180130;0.090765;9.744014
0.082397;0.201602;0.087681;9.743767
0.094792;-0.083371;0.068004;9.756784
0.079917;0.289293;0.068108;9.756337
0.074951;0.409323;0.067040;9.767534
0.072118;0.509505;0.067168;9.784205
0.090165;-0.070437;0.054759;9.777870
0.084484;0.074387;0.054131;9.776341
0.082346;0.067963;0.052015;9.781787
0.079658;0.138323;0.050407;9.788894
0.078424;0.193615;0.048702;9.794781
0.080208;0.145545;0.045541;9.796548
0.091154;-0.439314;0.033651;9.754219
0.088501;-0.187346;0.030316;9.768087
0.087826;0.011904;0.026566;9.777136
0.089556;0.115932;0.021687;9.782202
0.091559;0.181526;0.016424;9.790471
0.093538;-0.269104;0.005805;9.761823
0.094974;-0.053003;-0.001054;9.773337
0.096377;0.063902;-0.008109;9.785075
0.087527;0.227033;-0.015065;9.798793
0.073415;0.293965;-0.020849;9.809835
0.051652;-0.384305;-0.025610;9.783113
0.028227;-0.143668;-0.027336;9.787555
0.002847;0.040435;-0.025175;9.797766
-0.018283;0.101476;-0.019005;9.801345
-0.028189;-0.465650;-0.010728;9.787823
-0.036003;-0.291727;0.004523;9.780405
-0.071458;-0.084037;0.026831;9.789057
-0.103269;0.014172;0.056014;9.797535
-0.157420;0.110768;0.095082;9.807421
-0.043990;-0.273348;0.128651;9.805682
-0.015319;-0.069094;0.174905;9.807043
0.016929;0.017763;0.219268;9.814040
0.025058;0.166349;0.268002;9.822475
